Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,NFLX,NVDA,TSLA,AAPL,AMZN,GOOG,MSFT,NFLX,NVDA,TSLA,AAPL,AMZN,GOOG,MSFT,NFLX,NVDA,TSLA,AAPL,AMZN,GOOG,MSFT,NFLX,NVDA,TSLA,AAPL,AMZN,GOOG,MSFT,NFLX,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02,184.53207397460938,149.92999267578125,138.902099609375,367.380615234375,468.5,48.14991760253906,248.4199981689453,187.3153662175252,152.3800048828125,139.95213414491474,372.3632885983454,484.6499938964844,49.27649344260116,251.25,182.79251821875232,148.38999938964844,137.0906871446073,363.319184585885,461.8599853515625,47.57713465197093,244.41000366210938,186.03305662356883,151.5399932861328,138.9419195505414,370.3424737462839,483.19000244140625,49.22551389912714,250.0800018310547,82488700,47339400,20071900,25258600,5049400,411254000,104654200
2024-01-03,183.15037536621094,148.47000122070312,139.6983184814453,367.1131591796875,470.260009765625,47.551143646240234,238.4499969482422,184.77065219734183,151.0500030517578,140.4248728786553,369.7481357898977,475.04998779296875,48.16591065021649,245.67999267578125,182.3352619375341,148.3300018310547,137.7774089492218,365.04282689247566,465.7699890136719,47.302236567517355,236.32000732421875,183.1205556229884,149.1999969482422,137.94662090327196,365.5381225658885,467.32000732421875,47.46717554449256,244.97999572753906,58414500,49425500,18974300,23083500,3443700,320896000,121082600
2024-01-04,180.82435607910156,144.57000732421875,137.38925170898438,364.4781799316406,474.6700134277344,47.979984283447266,237.92999267578125,181.99730650228184,147.3800048828125,139.97201969823868,369.5896348719219,480.739990234375,48.48179475152094,242.6999969482422,179.80050438167336,144.0500030517578,137.3593943485074,363.71543548306664,466.5299987792969,47.49016653492504,237.72999572753906,181.06291404030495,145.58999633789062,139.19073184994926,367.1825051718643,472.9800109863281,47.74906818641796,239.25,71983600,56039800,18253300,20901500,3636500,306535000,102629300
2024-01-05,180.09869384765625,145.24000549316406,136.74232482910156,364.2899475097656,474.05999755859375,49.07856750488281,237.49000549316406,181.6692660827433,146.58999633789062,138.15562893957002,368.5593935584056,479.54998779296875,49.52839932284036,240.1199951171875,179.09472708075188,144.52999877929688,136.2048771424727,363.0517083951845,471.79998779296875,48.28786410604074,234.89999389648438,180.90387243418792,144.69000244140625,137.69979542310543,365.4984700948147,476.5,48.44380758245641,236.86000061035156,62303300,45124800,15433200,20987000,2612500,415039000,92379400
2024-01-08,184.4525604248047,149.10000610351562,139.86753845214844,371.1646728515625,485.0299987792969,52.23338317871094,240.4499969482422,184.49233019548157,149.39999389648438,139.97702051812547,371.66988411040546,485.239990234375,52.2553780928012,241.25,180.41679326133186,146.14999389648438,137.23003666296398,365.53812127674354,473.6499938964844,49.46042624518818,235.3000030517578,181.0032684531674,146.74000549316406,137.34946612153567,365.8253710003868,473.8900146484375,49.493414803058315,236.13999938964844,59144500,46757100,17645300,23134000,3675800,642510000,85166600
2024-01-09,184.03506469726562,151.3699951171875,141.887939453125,372.25433349609375,482.0899963378906,53.120052337646484,234.9600067138672,184.04499955584959,151.7100067138672,142.1268135094218,372.4524336286839,485.0899963378906,54.304608899415356,238.9600067138672,181.63944418662982,148.2100067138672,139.13099356909962,367.6976072202341,473.79998779296875,51.670595858503674,232.0399932861328,182.82234457021028,148.3300018310547,139.3997249840765,368.509899386066,475.5299987792969,52.38133132087113,238.11000061035156,42841800,43812600,19579700,20830000,3526800,773100000,96705700
2024-01-10,185.07879638671875,153.72999572753906,143.1221160888672,379.1686096191406,478.3299865722656,54.329593658447266,233.94000244140625,185.28753458558947,154.4199981689453,143.8436892574364,380.5554615818058,487.0,54.57949980004687,235.5,182.8223397938252,151.8800048828125,141.78843662182845,372.77931406448965,472.95001220703125,53.468916845765996,231.2899932861328,183.2497813853363,152.05999755859375,141.8481513461947,372.828831535822,481.6000061035156,53.595871880743346,235.10000610351562,46792900,44421800,16641900,25514200,4342400,533796000,91628500
2024-01-11,184.4823760986328,155.17999267578125,142.9927215576172,381.01116943359375,492.2300109863281,54.801422119140625,227.22000122070312,185.93366934185158,157.1699981689453,145.9686318269066,387.00423522356067,503.4100036621094,55.32522751933409,230.92999267578125,182.524132048394,153.1199951171875,141.54457876966245,376.8011560453087,483.82000732421875,53.53989856479592,225.3699951171875,185.42670336710847,155.0399932861328,144.21195284389037,382.3682747948277,492.5400085449219,54.97835763768243,230.57000732421875,49128400,49072700,17471100,27850800,7993300,596759000,105873600
2024-01-12,184.81040954589844,154.6199951171875,143.56002807617188,384.8150329589844,492.1600036621094,54.689456939697266,218.88999938964844,185.6255229866903,156.1999969482422,144.05767097207072,385.0230486833725,500.7900085449219,54.94936145206347,225.33999633789062,184.08477050382692,154.00999450683594,142.68417171959598,381.03096664819185,490.6099853515625,54.30960236510811,217.14999389648438,184.9495734055796,155.38999938964844,143.65954754323806,381.8630597761942,500.510009765625,54.59949057976511,220.0800018310547,40444700,40460300,13995200,21645700,4996600,352994000,122889000
2024-01-16,182.53408813476562,153.16000366210938,143.40078735351562,386.59808349609375,481.239990234375,56.360836029052734,219.91000366210938,183.16031793652851,154.99000549316406,145.15248498546094,390.32271672497956,494.1499938964844,56.813665103138256,223.49000549316406,179.85018978995151,152.14999389648438,142.38161257583326,383.9730224089054,478.0199890136719,54.879393878712925,212.17999267578125,181.07285998444632,153.52999877929688,142.7538424377146,389.9562027545636,490.0,54.99734961591672,215.10000610351562,65603000,41384600,19198900,27202300,4679000,449580000,115355000
2024-01-17,181.58973693847656,151.7100067138672,142.21640014648438,385.80560302734375,480.3299865722656,56.031959533691406,215.5500030517578,181.83824490899738,152.14999389648438,142.7339530613565,386.4395657529972,486.2099914550781,56.44980188752581,215.6699981689453,179.22395137316974,149.91000366210938,139.84761486962495,381.1894438434919,475.260009765625,54.71945269845349,212.00999450683594,180.18816351220838,151.49000549316406,142.23631011659492,384.32963163268903,484.5,56.325847887071866,214.86000061035156,47317400,34953400,17884500,22234100,4894600,474394000,103164400
2024-01-18,187.50425720214844,153.5,144.3065185546875,390.1641845703125,485.30999755859375,57.08556365966797,211.8800048828125,188.01120805146246,153.77999877929688,144.89871492300549,390.2830506876362,485.7699890136719,57.57837864545508,217.4499969482422,184.72096462518135,151.82000732421875,142.6742501680011,386.44946725171263,478.0199890136719,56.08593900392558,208.74000549316406,184.97940747954695,152.77000427246094,142.76382226063944,388.034419353738,480.0299987792969,57.23850610997206,216.8800048828125,78005800,37850200,18876800,23392100,4054400,491650000,108595400
2024-01-19,190.41676330566406,155.33999633789062,147.27244567871094,394.9190368652344,482.95001220703125,59.46866989135742,212.19000244140625,190.8044351704297,155.75999450683594,147.34210778973952,394.9190368652344,485.6700134277344,59.47766538428564,213.19000244140625,187.693125392904,152.74000549316406,145.1126772471203,389.79766667261197,476.05999755859375,57.203517829580356,207.55999755859375,188.20007624137466,153.8300018310547,145.61528626488587,392.0364126276258,484.9800109863281,57.967230984594906,209.99000549316406,68741000,51033700,27170900,29272000,5665600,543501000,102095800
2024-01-22,192.73284912109375,154.77999877929688,147.01368713378906,392.7793884277344,485.7099914550781,59.63161087036133,208.8000030517578,194.16425751836653,157.0500030517578,149.3078138461343,396.85070439221124,489.79998779296875,60.308358741109046,217.8000030517578,191.11257223144145,153.89999389648438,146.88429510685154,389.8868483654438,479.8999938964844,59.047830414692214,206.27000427246094,191.15234200232317,156.88999938964844,148.00897303488966,396.25634353223927,487.54998779296875,60.02646308238528,212.25999450683594,60133900,43687500,21829200,27016900,5212300,452955000,117952500
2024-01-23,194.01513671875,156.02000427246094,147.97909545898438,395.1468811035156,492.19000244140625,59.850528717041016,209.13999938964844,194.58174217570732,156.2100067138672,148.15825481226227,395.6223758316309,498.9599914550781,59.88751357892662,215.64999389648438,192.6732027698961,153.92999267578125,146.49612923631082,390.22364091426874,481.3999938964844,58.56301013401379,207.75,193.8561031440579,154.85000610351562,147.02362953102596,392.02652441578425,492.0,59.54764104000483,211.3000030517578,42355600,37986000,14113600,20525900,15506000,294654000,106605900
2024-01-24,193.33921813964844,156.8699951171875,149.6412353515625,398.7724914550781,544.8699951171875,61.338966369628906,207.8300018310547,195.20800309667513,158.50999450683594,150.85548531754347,401.81361446006787,562.5,62.82540771389363,212.72999572753906,193.1801693842155,156.47999572753906,149.133629842608,396.6823580074451,537.0700073242188,59.91550110281905,206.77000427246094,194.25372573180164,157.8000030517578,149.5815054429125,397.7620990596451,537.75,60.28136484798457,211.8800048828125,53631300,48547300,19245000,24867000,26432800,560271000,123369900
2024-01-25,193.0111541748047,157.75,152.9157257080078,401.0606994628906,562.0,61.5938720703125,182.6300048828125,195.09862703691502,158.50999450683594,154.03044106087503,403.18057938018296,563.4600219726562,62.695459614186476,193.0,191.9574828860578,154.5500030517578,150.50713564235818,398.7427194215606,548.4600219726562,60.8271578659148,180.05999755859375,194.05489060585987,156.9499969482422,151.02468856484268,400.5158863337274,551.9500122070312,62.32659482707883,189.6999969482422,54822100,43638600,21495100,21021200,9451900,482777000,198076800
2024-01-26,191.2716064453125,159.1199951171875,153.0650177001953,400.1295471191406,570.4199829101562,61.00809097290039,183.25,193.5976373302703,160.72000122070312,153.3835164900002,402.34849224643625,579.6400146484375,61.759811433716834,186.77999877929688,190.79447540505197,157.91000366210938,152.07969434131007,398.6436601299057,558.4299926757812,60.550266507965134,182.10000610351562,193.11057143190595,158.4199981689453,152.14935645979352,400.5654097210854,561.8099975585938,60.93711847607482,185.5,44594000,51047400,19494500,17803300,12770600,390309000,107343200
